"","taxon","freq","prev","p.freq","p.prev","p","not.contaminant","phylum","class","order","family","genus","species","in.homd","in.core.hominid","in.contam.list","taxon_category","threshold"
"98","29394",0.00120574614076123,63,NA,0.0367647058823529,0.0367647058823529,TRUE,"Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum","Dolosigranulum pigrum",FALSE,FALSE,FALSE,"None",0.05
"99","1428",0.00189511645233099,61,NA,0.0514705882352942,0.0514705882352942,FALSE,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus thuringiensis",FALSE,FALSE,TRUE,"In contam list",0.05
"100","492670",0.000306073926763172,57,NA,0.0808823529411764,0.0808823529411764,FALSE,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus velezensis",FALSE,FALSE,TRUE,"In contam list",0.05
"101","129338",0.00105630591108883,61,NA,0.0514705882352942,0.0514705882352942,FALSE,"Bacillota","Bacilli","Bacillales","Bacillaceae","Geobacillus","Geobacillus subterraneus",FALSE,FALSE,TRUE,"In contam list",0.05
"102","294699",0.00014162204853358,56,NA,0.0882352941176471,0.0882352941176471,FALSE,"Bacillota","Bacilli","Bacillales","Bacillaceae","Anoxybacillus","Anoxybacillus amylolyticus",FALSE,FALSE,FALSE,"None",0.05
"103","279826",0.000262763803420489,56,NA,0.0882352941176471,0.0882352941176471,FALSE,"Bacillota","Bacilli","Bacillales","Bacillaceae","Mesobacillus","Mesobacillus foraminis",FALSE,FALSE,FALSE,"None",0.05
"104","665099",3.83560130481433e-06,13,NA,0.404411764705882,0.404411764705882,FALSE,"Bacillota","Bacilli","Bacillales","Bacillaceae","Cytobacillus","Cytobacillus oceanisediminis",FALSE,FALSE,FALSE,"None",0.05
"105","2777185",2.87023899123737e-05,39,NA,0.213235294117647,0.213235294117647,FALSE,"Bacillota","Bacilli","Bacillales","Bacillaceae","Pontibacillus","Pontibacillus sp. ALD_SL1",FALSE,FALSE,FALSE,"None",0.05
"106","29382",0.00191659638859898,62,NA,0.0441176470588235,0.0441176470588235,TRUE,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus cohnii",TRUE,TRUE,TRUE,"In both",0.05
"107","1280",0.00188227452206591,56,NA,0.0882352941176471,0.0882352941176471,FALSE,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",TRUE,TRUE,TRUE,"In both",0.05
