"SRX3830154_oral"	"SRX4318863_oral"	"SRX024173_human_gut"	"SRX024148_human_gut"	"ERR584333_labcontam"	"SRX024023_human_gut"	"SRX3830174_oral"	"SRX024200_oral"	"SRX023994_human_gut"	"ERR584348_labcontam"	"SRX4318860_oral"	"ERR584320_labcontam"	"SRS727524_human_skin"	"SRS728264_human_skin"	"SRX740589_human_skin"	"SRX3830184_oral"	"SRX740562_human_skin"	"SRX025192_oral"	"SRX3830126_oral"	"SRX740632_human_skin"	"SRX025193_oral"	"SRX101411_oral"	"SRX3830225_oral"	"SRX4318858_oral"	"ERR584341_labcontam"	"SRR5823608_soil"	"SRR5823606_soil"	"SRR5823609_soil"	"SRR5823611_soil"	"Unknown"
"RDC_6_EB11_NA"	3.32810851383984e-06	0	0	0	0	0	0	0	0	0	0	4.18921448858167e-06	8.11193080839907e-11	0.496518754996521	6.58907526233881e-59	0	1.26109354679313e-10	0	0	0	0	0	0	0	0	0.118514596928479	1.8504363996501e-06	3.28354886533464e-06	0	0.384953996559504
"RDC_3_H23_NA"	0.0882177292357487	4.14430383173705e-29	5.17474960480391e-67	0	0.0125512613918759	8.98137463398897e-158	1.46518363482395e-164	9.8354280401062e-06	0.0327619696936707	7.19604891347756e-245	2.31355325103957e-130	2.47206741108596e-304	4.61470426889313e-129	0.0260222628794368	6.79239969292345e-171	0.187817814168106	0	0.460393775309816	0	8.57936787563639e-25	0.104067734277257	0.000136722310098515	5.09507062092864e-65	0.0577178650029197	2.63561960078973e-304	6.9167476354019e-117	6.51970679734174e-153	1.34452845396612e-304	3.68383782641164e-246	0.0303030303030303
"RDC_2_S3_NA"	0.131461765703844	3.22176479132637e-27	0	0	0.0253076252698733	0	0.0976195273000125	2.26220345802383e-45	0	0.12717933469547	3.50522324235315e-20	6.88659866800222e-41	0.0227703214987546	7.79619569496258e-07	4.96490696720032e-20	8.01263737825052e-13	5.42576283625483e-08	0	5.12550060392843e-17	8.87098384379453e-11	3.13323173076405e-26	1.17151101897258e-12	3.9009975267303e-20	4.07482953581437e-30	1.86206368695668e-08	0.210742189294016	0.000673290809295439	0.0055021432829541	0.109260453298651	0.269482496258612
"RDC_3_H22_NA"	2.80171301702093e-06	4.33726248704206e-06	1.59350796698261e-11	0	0.0804135149405917	9.70558120813432e-21	0.0933926747227523	0.000189241259731719	4.23532938972733e-21	0	6.85971409097709e-14	1.19419149118213e-29	2.62441085246522e-08	1.01451178746238e-44	0.0358409016353763	6.021754417052e-07	6.42979859488213e-11	0.35699040790304	0.0526357122464028	0.00432531569720628	0.00134785526178727	0.000220704416739645	0.0386267083164531	1.73622545936402e-15	3.79416937654129e-27	3.31525800538736e-07	0.142460471265703	6.2362838102022e-09	3.36960023744289e-20	0.193548387096774
"RDC_3_H14_NA"	0.146251900943726	0	0	0	0.0403429778995451	0	0.0942510645435571	1.69001037386483e-42	5.40393459639233e-57	0.0142492518024073	0	1.23376335352011e-21	0.000880868295007503	1.41613535987304e-08	6.58927411824247e-13	2.12402418682337e-13	2.70791469189599e-12	0	9.44931687671494e-14	1.24532828991623e-29	9.62594780909908e-58	3.3886047016505e-05	0.158094604139347	0	1.13936873926272e-28	0.0864375920362599	1.36345995634853e-05	0.251985366472086	0.100315981913599	0.107142857142857
"RDC_5_H55_NA"	0.051252626130043	0.0850257683001202	0	0	0.0465128361576135	0	3.09454895829028e-213	0.159508097363297	7.36302420489687e-64	2.11074402653523e-64	0.0627230051363949	0	0	0.0356020598553764	9.18438589803221e-238	2.14207963665527e-61	0	3.77280221088437e-14	0.348118418188928	6.48289581867265e-147	0.0134551471234627	9.3022668076544e-76	5.04816812628454e-74	2.25802575070763e-104	0	1.34317126828919e-96	2.07496929273975e-136	0.0687697836802106	0	0.129032258064516
"RDC_4_S5_NA"	0.0820316913468929	1.96735314272779e-150	0	0	8.0568679751884e-19	0	0.244973869931697	0	4.44107181696864e-152	5.84983407979141e-79	6.88811780571176e-177	1.98857104878512e-61	1.95784656290402e-54	9.96427492477926e-56	1.5956671448583e-28	3.0790626897605e-40	0.141201846118014	2.03061270697869e-61	2.05277975302e-103	5.22452147140433e-152	2.07308041781677e-140	0.0693489861268461	1.15057807924823e-24	6.81149176364267e-154	2.0615116033586e-64	2.98122113230514e-24	0.208689440722851	1.8729859892558e-16	0.0662541657536988	0.1875
"RDC_6_H62_NA"	4.12722077412278e-07	0.00699628240788171	0.000131788565012409	0	0.126028193145003	0	0.0633867022430137	0.0209364711666933	3.48219084796394e-17	0.0120686075724547	0.00112167397052742	2.85780966906477e-08	5.73713732481568e-05	5.92205854262468e-19	0.0775183761924213	0.118553565369506	1.35755934368115e-13	0.00966897407135197	0.179049393879476	0.0668514824172745	0.0216778501703933	2.46923214381576e-05	0.00721057121777519	0.00117788462200429	1.62663190975563e-06	1.95986704975029e-16	0.0157077562405705	0.00137431227928955	1.86478330217394e-09	0.270455980977662
"RDC_5_H52_NA"	0.410140191731231	0.0431762237145418	0	0	0.0213131986907058	0	4.06234907804825e-66	0.178907781403417	9.95361031291921e-112	2.38537341627826e-151	4.23030190351655e-201	4.57859550460539e-61	6.37814259268027e-95	2.61869954784876e-77	2.50969535737423e-52	1.05461053489127e-51	2.5192456667598e-67	2.25043529545553e-141	0.000819607478437609	0.0826276169898922	3.1079629665897e-103	8.02401429414082e-20	1.56936444560906e-53	7.33581024170895e-48	0.114867231843626	2.09031753876413e-105	1.12365700081074e-103	1.01035031908072e-79	6.64872393315981e-69	0.148148148148148
"RDC_4_H29_NA"	0.118680556702131	2.99478356350246e-103	1.02823622932063e-62	0	0.127275480301929	0	3.90718583347277e-43	8.65346183166288e-142	0	4.48190895655561e-42	5.4266668070476e-109	0.0306556797329232	0.000139982340880159	0	1.61386500455985e-72	5.39941523536851e-23	2.06677557403939e-35	4.11433977164457e-60	5.89173515921893e-16	5.44965301110381e-18	5.74531307767778e-88	4.32447251931462e-05	0.0374951580102669	1.44197877029505e-140	0.0771780681003356	0.132149238362375	0.268233664546888	0.041482260510411	2.19027165125446e-33	0.166666666666667
