"SRX3830154_oral"	"SRX4318863_oral"	"SRX024173_human_gut"	"SRX024148_human_gut"	"ERR584333_labcontam"	"SRX024023_human_gut"	"SRX3830174_oral"	"SRX024200_oral"	"SRX023994_human_gut"	"ERR584348_labcontam"	"SRX4318860_oral"	"ERR584320_labcontam"	"SRS727524_human_skin"	"SRS728264_human_skin"	"SRX740589_human_skin"	"SRX3830184_oral"	"SRX740562_human_skin"	"SRX025192_oral"	"SRX3830126_oral"	"SRX740632_human_skin"	"SRX025193_oral"	"SRX101411_oral"	"SRX3830225_oral"	"SRX4318858_oral"	"ERR584341_labcontam"	"SRR5823608_soil"	"SRR5823606_soil"	"SRR5823609_soil"	"SRR5823611_soil"	"Unknown"
"RDC_2_H5_NA"	2.10450744233577e-07	2.51303617150981e-05	0	0	0.00017227038653803	2.12993110137983e-16	4.22919784663756e-11	0.165523588691902	0	0.00229358878962668	0.0453023652242328	9.56521103662722e-09	1.51515798309238e-06	1.52057199462636e-11	7.65441889288145e-10	0.000961837457865775	0.0534970602467669	0.0146847193253273	1.12665981549204e-05	0.00542541087889876	0.146747575526453	0.137723806113174	0.0578946018072334	0.0967416148265838	1.0937239582785e-15	0	8.29125114028169e-08	0.0477515242106808	0	0.225241820645456
"RDC_4_H41_NA"	0.245358934409126	1.09223740541391e-47	0.0399861776607844	0	0.141885827363209	9.71074875390613e-05	1.01517376889398e-23	3.61041830328769e-12	5.15469435259602e-05	8.62679504914189e-61	2.96995789472581e-75	4.84873754840808e-42	3.68672872361154e-20	1.72602665250056e-187	4.66324144254233e-79	8.84163796239529e-18	2.89155334545584e-184	0.114937062504153	1.74897569198819e-118	2.07580362101773e-16	2.00242843878384e-40	0.23370865528869	9.55728614850826e-35	1.45462556764569e-63	1.56135857534229e-33	0.031666988429462	7.41895703187257e-10	6.90300267750871e-61	6.86031162850054e-09	0.192307692307692
"RDC_5_H58_NA"	4.92267141673613e-06	2.38199680595317e-27	0.0677377962333846	6.04323601369012e-08	1.075540594262e-14	2.51878978280362e-13	0.127711763351599	0.0643995191154686	3.63164097987208e-16	0.0534194692124805	2.9377392793703e-24	1.67199753310722e-40	1.79905042317598e-16	0.0366099170382271	3.87679143544778e-15	1.55118950128706e-11	1.80115770065553e-25	1.1863847818723e-06	5.71302090546195e-17	0.0728114726504741	0.185888981642649	0.0864061137260414	8.97301692853223e-08	1.20594649686981e-31	8.69931726593157e-32	1.2185572482627e-09	4.18332098471002e-40	0.23358013514804	1.95879706433549e-55	0.0714285714285714
"RDC_4_H38_NA"	3.33948022972848e-08	8.11620618430468e-05	0.0639518738479259	0.000741410287365319	0.0122393177427407	0	0.0108371651216708	0.147542522463306	0.000766330172210428	0	0.000850189744600663	9.58439873306982e-05	0	1.58567075852127e-11	3.95734801214208e-09	0.128714131226508	9.48910892931629e-05	0.001098542043925	0.0714285714285714	0.00124941314463041	0.0337034501064263	0.00335930624052249	0.108615114467403	0.000122679158927789	8.76251501337911e-08	0.126979618144721	0.07000064572479	0.181647803755471	0.000165607332375017	0.0357142857142857
"RDC_4_H28_NA"	5.01884743801751e-07	5.51683619564369e-05	5.19545781429284e-16	0	7.70102502204011e-18	5.04747853748071e-16	6.37974438558448e-12	0.282378924377013	0.0366857428323139	0.0676233058415159	3.53196959728104e-09	8.05912291613078e-09	8.60508055137391e-16	0	9.14335827456723e-05	2.16457454566861e-06	9.92215590688651e-18	0.141579907151904	0.0386141588733846	0.257787549486039	0.0113131990146302	0.000740962745377749	1.27795559736044e-05	6.58433821428277e-05	0.0201912038658616	2.7384109817337e-12	0	1.24966371157152e-11	2.17035551959932e-18	0.142857142857143
"RDC_5_H44_NA"	1.45895126436854e-06	2.80938160233968e-09	9.67380468179195e-20	0	0.0590942932734636	0	0.134804237878603	0.00236501336989693	0	0.000863053744170416	2.12109994052196e-12	1.73265510728193e-10	1.04671874901234e-12	3.65975816049999e-14	3.5956523708112e-12	2.28043270352466e-07	0.0469569670186162	0.57477306788721	0.0516397819172994	9.50502228869517e-05	0.00035522259309742	0.0316487968159841	0.000168589831829826	2.77401376981855e-11	1.53828649929944e-23	0.0559745725665621	0.0412590656979429	4.51127202117157e-07	1.46043512993806e-07	0
"RDC_4_H26_NA"	0.11857125319656	0.161339126597559	0	0	0	2.21343551346108e-203	0.0241419948619746	1.3591743102379e-38	0	7.12618072964528e-42	8.18287701712923e-116	2.14271349597078e-93	4.32766440164638e-203	4.73173320768645e-69	0.000457032432302321	2.81735788750308e-06	9.42597185652869e-146	0.0169380211844057	0.206586264850397	0.305217672585307	6.47457119451147e-05	0.130966785507377	4.34186848950791e-47	2.06895671027722e-74	4.9704243934024e-148	1.42593829848172e-27	5.64459857444999e-30	9.69413923344411e-73	5.23306751257542e-21	0.0357142857142857
"RDC_5_H54_NA"	0.109189859296322	4.96290498855307e-27	3.49400835357496e-06	3.02876364429162e-06	0.0784728111852882	9.61527843929155e-18	0.0938094718169283	2.5850117087638e-07	0.0785128052233609	8.34706638718564e-31	8.12475897163812e-08	0.194178724139851	4.98677819730784e-22	7.81810982742848e-24	2.96669628500971e-26	1.11166127892904e-08	1.66454408076249e-10	3.32707175390529e-24	3.15643935467772e-29	0.0690566900093599	0.0703156846128838	2.40474595777711e-05	0.0670626149383687	8.13285530357715e-37	1.47246287231532e-43	0.113750607803621	4.4896497586553e-22	1.18005413527724e-06	0.0456186296564777	0.08
"RDC_6_H66_NA"	0.0434815293341638	1.78721363088819e-58	0	0	3.63285054469201e-13	0	0.0390043991745531	5.34585736659449e-11	0	5.23426722689451e-10	1.03107464997497e-40	1.58886564542812e-21	0.0560297666133028	1.77627622814336e-26	3.88420295376577e-08	1.37469710560717e-22	0	2.88014671383074e-31	5.01646289399606e-29	3.0581429033282e-17	0	0.012713042436879	9.41241166629371e-34	2.64734366027872e-20	2.28037811730388e-17	0.270516515982781	0.108012463143129	0.248737159858838	0.144582007113998	0.0769230769230769
"RDC_3_H13_NA"	6.35098487451526e-06	1.73056674432261e-37	7.63467314959284e-08	0.0217060741369339	6.39748189985212e-44	7.79271525937765e-06	0.119629374303413	0.110442642056138	2.70166250275234e-13	2.54692650106674e-45	5.88286331055934e-43	5.00093192661136e-83	0.12879628594632	5.92887657218619e-43	1.21459751139249e-18	0.187590253241991	5.48928283151504e-21	2.53993425942986e-06	0.0846515497827297	2.39389694331019e-08	2.8757613232374e-07	5.6176913147485e-05	0.170925453718534	3.29921931157131e-35	2.06272530286701e-31	5.148252600701e-34	0.0223389645581417	8.11443421448406e-36	1.75645746474134e-85	0.153846153846154
