"SRX3830154_human_calculus"	"SRX4318863_human_caries"	"SRX024173_human_gut"	"SRX024148_human_gut"	"ERR584333_labcontam"	"SRX024023_human_gut"	"SRX3830174_human_calculus"	"SRX024200_human_plaque"	"SRX023994_human_gut"	"ERR584348_labcontam"	"SRX4318860_human_caries"	"ERR584320_labcontam"	"SRS727524_human_skin"	"SRS728264_human_skin"	"SRX740589_human_skin"	"SRX3830184_human_calculus"	"SRX740562_human_skin"	"SRX025192_human_plaque"	"SRX3830126_human_calculus"	"SRX740632_human_skin"	"SRX025193_human_plaque"	"SRX101411_human_plaque"	"SRX3830225_human_calculus"	"SRX4318858_human_caries"	"ERR584341_labcontam"	"SRR5823608_soil"	"SRR5823606_soil"	"SRR5823609_soil"	"SRR5823611_soil"	"Unknown"
"RDC_6_H67_NA"	0.220377676594153	1.04926325118252e-52	0	0	0.134977079175884	0	0.0471655111456938	2.55089506923905e-25	5.46360962149767e-31	1.19571612187636e-30	9.45807627732617e-22	8.03388934627292e-18	0.0662723407147532	8.29438208548103e-21	1.25522206188599e-06	1.4923151639723e-17	5.96881219073651e-22	0	0.0628500452369859	1.2634884079526e-22	3.24343135489472e-20	5.00045539732463e-17	1.3686130687919e-05	4.42702489854937e-41	1.1574694067793e-22	0.121100749448067	0.0714227940991329	3.99643156072919e-07	0.090633277404239	0.185185185185185
"RDC_4_H28_NA"	1.18229393824427e-05	2.59596813405044e-71	1.94765526466442e-160	0	0	0	0.0132745873351463	0.0374523493607106	0	0.0511604427936108	1.43196427078789e-31	7.51920786946539e-11	1.53062842493104e-120	1.12468972456522e-54	0.0198934655610453	1.02175131178369e-24	5.70038783451856e-161	0.282368963148343	3.0397811871587e-63	0.190641600294859	7.88177613724514e-08	1.9815829805128e-18	0.082654363607328	7.06426108449486e-49	2.16902922455899e-10	0.155367319239427	1.81389328387521e-07	0.0685236213993134	0.0616141667846115	0.037037037037037
"RDC_5_H44_NA"	0.0682609570780591	2.80736292193362e-14	0.0946516001602339	0	0.00501628679635666	1.63992791817681e-33	0.217348710509174	0.16060271029046	2.57511806369121e-49	1.01526758369135e-08	0.0551970613531321	1.90839585722019e-27	1.01638852819893e-53	1.36409653612201e-49	4.83218154333952e-19	0.000413103790421509	3.3146771499032e-13	0.0087857902053058	0.151622329194001	0.13998653097904	0.000993445965949333	0.000426404534460024	0.0181384205160027	2.25495102531118e-10	6.77852263131231e-65	0.00163356132579729	1.00395713566177e-48	3.0477335537781e-38	1.02030481307891e-33	0.0769230769230769
"RDC_4_H26_NA"	3.83632103192837e-07	0.0616551494706137	0	0	0.0436977022499455	0	0.154602809019103	0.210883821859187	0	3.87624240777574e-14	0.000362067511512353	0.062364199664788	2.07656963955409e-19	2.20507459483383e-09	0.00131009235928831	0.190267270084552	7.11181844128994e-09	0.0324117034555123	0.0184446076750114	0.00259233842020361	0.0399505523018439	0.000773192322530867	0.0024720193307373	1.23100930072389e-05	2.55124949821977e-10	2.6446052647871e-06	4.60049896738926e-07	3.33834127998089e-07	1.38381642213303e-06	0.178194948672293
"RDC_5_H54_NA"	0.0347226225224048	5.13899972781051e-53	0	2.8885449565643e-198	0	5.18253994312749e-215	0.0751962000686713	0.00747046892705578	8.88670719723948e-285	2.42980789637485e-06	2.73007952936339e-28	7.18323952685363e-272	1.45325908221605e-175	1.09572362996651e-275	0.0199925290810535	0.0581832577163188	1.09252721225566e-148	1.72999638450605e-29	1.18771936367582e-143	3.23025498233831e-45	7.43070627843595e-44	0.249624490692838	0.161084776133999	2.8083187472079e-116	1.68608294748021e-165	0.113723225049762	1.37683372461756e-62	1.43937423672711e-284	3.22219173630432e-69	0.28
"RDC_3_H13_NA"	1.42253387637024e-06	1.04961005901436e-07	1.00030401309416e-05	0.000339657843101568	1.44275417184279e-10	8.14287003321041e-12	0.36270120928262	0.039519124503666	3.20253347602065e-13	9.1757528739672e-09	2.84677663418003e-14	7.29918320772279e-07	1.48664154422665e-22	3.70509218744713e-46	8.21412304989765e-13	0.175191671062494	0	0.000181589744652758	0.141629798041983	6.11212852036253e-08	0.0296721661152111	0.0280260217046609	0.0199320714356221	8.76612723365953e-06	1.26118497973517e-49	0.0895353871019762	3.13541224324419e-14	0.0021362020661675	2.89295550849237e-06	0.111111111111111
"RDC_4_H37_NA"	4.18793007204207e-07	0.000136803997398717	0	0	0.00105240343908058	0	3.91991864379153e-07	0.00587532421692936	0	1.24967389789996e-10	4.1447484744564e-07	0.000367925470796578	1.5016210438163e-06	0.000178583323911358	1.67066017295039e-09	0.0003798605241936	3.78650633922785e-12	0.0680609398421508	0.00199832638076241	0.00208937927293181	0.431845798356131	0.0273147481800412	0.0840304816721803	2.86137475338162e-08	3.39615630656408e-11	0.0194168586479242	4.67943039485031e-08	0.183463431057691	0.00711966482902027	0.166666666666667
"RDC_1_H1_NA"	5.06204003439767e-07	6.638418029449e-07	7.08359964210721e-14	9.41135395920399e-14	0	0	5.45553984204559e-05	0.000652381641958855	0	5.31211992907011e-12	0.0591108380938717	0.00012665818982939	5.55178371049605e-10	7.28822402296534e-14	3.72104944733707e-06	0.0626746407335375	0	0.523272771658638	0.0387288541586348	0.000722580770885815	0.183489938826504	0.0523278947492266	0.0788322389016494	1.12858326923192e-06	0	5.51682140321541e-10	4.17069668661174e-07	2.09016118325981e-07	1.22769672687229e-13	0
"RDC_2_H4_NA"	0.133428594012049	0.000855508616549757	0	0	0.0715048743662063	3.9273014990501e-45	5.12640238322394e-13	0.150236586103146	0	3.77069785158878e-21	0.202769407788241	3.41523954864882e-15	1.01919917236317e-31	5.57493053364136e-32	9.50850875757234e-25	0.050000709815495	9.21405460449643e-37	2.1918196965645e-11	4.3175557404919e-18	5.03743862076658e-05	1.60656039671101e-13	1.88491850925767e-06	0.231152059971	1.60495339627345e-27	8.95971807349528e-26	5.58416690274693e-23	1.80942428337768e-17	1.97922791534956e-15	2.42019238816637e-26	0.16
"RDC_5_H49_NA"	1.82859495471102e-06	0.0974351184406823	0	1.46502668446852e-42	0.0909402045030826	0	2.14836825658528e-23	0.0257766133281452	0	4.35761989522388e-26	1.2214726976328e-13	5.27214660935354e-07	4.83209278941607e-20	5.61366235861389e-24	5.0562027494288e-06	3.39507242379957e-08	2.47042702199328e-07	0.408263425133654	0.0985236149464327	3.40736568059558e-08	0.000339387618604205	0.00029607189355322	0.00161405373716593	0.0860766098817883	9.81891227219793e-39	0.0967347177014313	1.91950353831633e-05	0.000245506026912925	0.0566907176365571	0.037037037037037
