,phylum,class,order,family,genus,species
656366,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter alpinus
122866,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter keyseri
596707,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Sinomonas,NA
37927,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Sinomonas,Sinomonas atrocyanea
936337,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium amylolyticum
2609252,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Rathayibacter,Rathayibacter sp. VKM Ac-2759
1978566,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium sp. LW097
257496,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium,NA
2795488,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium,Curtobacterium sp. YC1
110934,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Agreia,NA
2641148,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Agreia,NA
2773266,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Agreia,Agreia sp. COWG
96492,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Frigoribacterium,NA
2627005,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Frigoribacterium,NA
2596916,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Frigoribacterium,Frigoribacterium sp. NBH87
543886,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,Saccharopolyspora endophytica
65496,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,NA
2644606,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,NA
1612551,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus sp. GBA129-24
47874,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora rosaria
1914461,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora terminaliae
2617518,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,NA
2742132,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,Verrucosispora sp. NA02020
64104,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pseudomycoides
2026193,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus nitratireducens
580165,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cytotoxicus
84406,Bacillota,Bacilli,Bacillales,Bacillaceae,Virgibacillus,NA
1482,Bacillota,Bacilli,Bacillales,Bacillaceae,Virgibacillus,Virgibacillus halodenitrificans
2684853,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,NA
2496837,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus marinus
1286,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus simulans
29385,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus saprophyticus
2735868,Bacillota,Bacilli,Bacillales,NA,Exiguobacterium,Exiguobacterium sp. Helios
1428684,Bacillota,Bacilli,Bacillales,NA,Exiguobacterium,Exiguobacterium alkaliphilum
2737,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,NA
218144,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,Vagococcus carniphilus
2767893,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,NA
1581,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus buchneri
1266,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Sarcina,NA
2619470,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Sarcina,NA
