taxon,lfc_.Intercept.,lfc_Isola.Sacra,lfc_Selvicciola,se_.Intercept.,se_Isola.Sacra,se_Selvicciola,W_.Intercept.,W_Isola.Sacra,W_Selvicciola,p_.Intercept.,p_Isola.Sacra,p_Selvicciola,q_.Intercept.,q_Isola.Sacra,q_Selvicciola,diff_.Intercept.,diff_Isola.Sacra,diff_Selvicciola,passed_ss_.Intercept.,passed_ss_Isola.Sacra,passed_ss_Selvicciola
GO:0005993: [BP] trehalose catabolic process,-0.198969290731472,-0.395837009527582,0.566958962240632,0.151249750857324,0.212901961413788,0.388692273712557,-1.31550160977893,-1.85924548040329,1.45863193221048,0.198647541842837,0.0731662642991097,0.155413193073733,0.305611602835134,0.335175065504301,0.767850845084648,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
GO:0005996: [BP] monosaccharide metabolic process,-0.042271220327405,-0.0216518905383204,0.0227371145773778,0.110706865635149,0.162703420705388,0.289043158018191,-0.381830160983114,-0.133075816380813,0.0786633896933372,0.704384544477886,0.894726740793847,0.937649128099025,0.790540801389455,0.967884821202082,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
GO:0005997: [BP] xylulose metabolic process,-0.107379554739878,0.490003686770908,-0.664720432693853,0.166166300263528,0.223777347855169,0.518846282238497,-0.646217401299667,2.18969297593089,-1.2811509987621,0.521349706192816,0.0336561974925174,0.206561845116274,0.637118865988241,0.234800864744965,0.818264313987171,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
GO:0006000: [BP] fructose metabolic process,-0.414184062681694,0.101874105761183,0.307374994437961,0.144207860787118,0.218522328464939,0.472442583375558,-2.87213235409628,0.466195406560151,0.650608148490332,0.00784189902268658,0.644815039710305,0.520798017078087,0.0278549034682169,0.875411146626573,0.96618894552369,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
GO:0006002: [BP] fructose 6-phosphate metabolic process,0.0953938989780565,0.016400577123087,0.0532582214651671,0.0490772312671088,0.123116036905557,0.16902157586237,1.94375062559792,0.133212354257862,0.315097177348139,0.0576799150420759,0.894571027017339,0.754025868483425,0.119740583125322,0.967884821202082,0.992758539174016,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
GO:0006003: [BP] fructose 2,6-bisphosphate metabolic process,-0.414184062681694,0.101874105761183,0.307374994437961,0.144207860787118,0.218522328464939,0.472442583375558,-2.87213235409628,0.466195406560151,0.650608148490332,0.00784189902268658,0.644815039710305,0.520798017078087,0.0278549034682169,0.875411146626573,0.96618894552369,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
GO:0006004: [BP] fucose metabolic process,0.00363331554333526,-0.11604976675407,-0.617436787051583,0.103517527761257,0.162104989228818,0.3036728141971,0.0350985540508152,-0.715892628019364,-2.03323036566202,0.972163584359886,0.477927496148975,0.0482312450769247,0.985834607039232,0.780106490954042,0.512181210699909,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GO:0006006: [BP] glucose metabolic process,0.0930922779173635,-0.0150878430460175,0.228339497308077,0.0569938707627594,0.0985093835495376,0.143131189785466,1.63337349563194,-0.153161480687068,1.59531614074002,0.108800559194886,0.878899938773331,0.117071947105002,0.193528109630817,0.960930599725509,0.700498392002119,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
GO:0006007: [BP] glucose catabolic process,-0.321856227189529,0.181196652326105,-0.268223416714063,0.116626575938584,0.174479087010382,0.347677858284857,-2.75971599611241,1.0385006904313,-0.771471091191271,0.00885302856375694,0.305600182172312,0.445198827486132,0.0297903607003739,0.658359556553207,0.948230908029025,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
GO:0006011: [BP] UDP-glucose metabolic process,0.176845943797672,-0.0948251865889084,-0.259959378841254,0.0646941282749086,0.10434997238414,0.22152609694115,2.73357024065909,-0.908722680249799,-1.17349324721012,0.00869269950551124,0.367944548522417,0.246270725783025,0.0295768198942706,0.706037398561242,0.84685417614813,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
GO:0006012: [BP] galactose metabolic process,0.0919702187678527,0.0384126802848557,-0.0167935995252007,0.0832672533124977,0.147902038144424,0.247439960962091,1.10451846445196,0.259717044922303,-0.0678693912652759,0.274762646852634,0.796170202969279,0.946165797843184,0.388457535205448,0.936670827022681,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
GO:0006015: [BP] 5-phosphoribose 1-diphosphate biosynthetic process,0.148283747647908,-0.11666188705701,0.141903623363181,0.0622833374529351,0.105382412858023,0.246124712638447,2.38079322194255,-1.10703374399089,0.576551707636264,0.0212074733948932,0.273684439039854,0.566881569976523,0.0568304842608249,0.619948176830608,0.984497091617249,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
GO:0006021: [BP] inositol biosynthetic process,-0.227217180826907,0.460962491244796,-0.170976819866206,0.129125103970263,0.229062892435016,0.629096933300652,-1.75966697288573,2.01238396295711,-0.271781359621561,0.0855774663845537,0.0504699067782582,0.787090817480076,0.163416455941243,0.293512933036679,0.995296607212118,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
